FPS Payment data,,,,,,,,,,,,,,,,,,,,,,
MESSAGE_IDR,CREATION_TMP,TRANSACTION_REFERENCE_NUM,FPS_IDR,SETTLEMENT_AMT,SETTLEMENT_CURRENCY_CDE,PAYMENT_REQUEST_SENT_DTE,ORIGINATING_CR_INST_SRT_CDE,ORIGINATING_CUS_ACC_NUM,ORIGINATING_CUS_ACC_NME,BENEFICIARY_CR_INST_SRT_CDE,BENEFICIARY_CUS_ACC_NUM,BENEFICIARY_CUS_ACC_NME,BENEF_CUS_ACC_ADDNL_IDENT_REF,PAYMENT_TYPE_CDE,CREDIT_PAYMENT_METHOD_VAL,DEBIT_PAYMENT_METHOD_VAL,MESSAGE_STATUS_CDE,MESSAGE_DIRECTION_CDE,SUBMITTING_MEMBER_BANK_CDE,RECEIVING_MEMBER_BANK_CDE,SETTLEMENT_DTE,ORIGINATING_SYSTEM_CDE
RPS FPS 56282776061534,14-05-2018 00:00,RP4146629602885390,RP46599850490599001020180509826200026,994,GBP,14-05-2018,656258,23461222,Beatrisa Dockrill,285254,45601236,"UMAR,MUHAMMAD,'ABDALLAH BA'AMAR",ABDO,10,FPS,BOOK,COMPLETE,O,934,13,14-05-2018,812
RPS FPS 90484872616643,19-11-2018 00:00,RP6844235518129130,RP46799600590814001020180429826200026,180,GBP,19-11-2018,542684,23465222,Aleece Tait,795301,53658273,UMARAMAR,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-11-2018,812
RPS FPS 61385110034950,04-04-2018 00:00,RP1519031725030720,RP46799607647690001020180507826200026,894,GBP,04-04-2018,283956,23537222,Prentice O'Collopy,662470,40870611,"UMAR,MUHAMMADAMAR",INVOICES 22 +19,10,FPS,BOOK,COMPLETE,O,934,11,04-04-2018,603
RPS FPS 83615246943862,22-12-2018 00:00,RP8314107536176100,RP46799641997000001020180219826200026,887,GBP,22-12-2018,817865,23553222,Brandais Tompion,767034,77516089,MUHAMMADAMAR,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,22-12-2018,612
RPS FPS 80681828354852,12-09-2018 00:00,RP8056873585856660,RP46799642109900607959791710209300611,526,GBP,12-09-2018,343172,23570222,Parsifal Tanfield,683067,68141389,ABDALLAH BA'AMAR,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,12-09-2018,612
RPS FPS 86426502613867,20-03-2018 00:00,RP8926172273336290,RP46816812510583677054092860569217026,927,GBP,20-03-2018,610651,23638222,Artur Ladds,502436,81513823,UAMAR,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,20-03-2018,812
RPS FPS 13588773010450,16-11-2018 00:00,RP3791268928758570,RP46919752326418496584980096638928899,216,GBP,16-11-2018,488692,23661222,Angil Richings,246536,40547482,AMARU,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,16-11-2018,812
RPS FPS 35180936487185,16-01-2018 00:00,RP8089874249532370,RP46947423022536528003980391808985055,420,GBP,16-01-2018,405281,23709222,Dennet Wessel,534771,80479511,"U,MAMAR",INVOICES 22 +20,10,FPS,BOOK,COMPLETE,O,934,11,16-01-2018,603
RPS FPS 34076751049958,04-05-2018 00:00,RP2368908026623710,RP46895221357848510515885897269344456,202,GBP,04-05-2018,649706,23711222,Nickola Alfonsetti,867150,70320653,AMARU M,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,04-05-2018,612
RPS FPS 43359596553331,03-06-2018 00:00,RP8843584071328180,RP46833022774881584420483262148955270,534,GBP,03-06-2018,305205,23759222,Maurice Grimshaw,620467,64421094,"U,M,AAMAR",TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,03-06-2018,612
