MESSAGE_IDR,CREATION_TMP,TRANSACTION_REFERENCE_NUM,FPS_IDR,SETTLEMENT_AMT,SETTLEMENT_CURRENCY_CDE,PAYMENT_REQUEST_SENT_DTE,BENEFICIARY_CR_INST_SRT_CDE,BENEFICIARY_CUS_ACC_NUM,BENEFICIARY_CUS_ACC_NME,ORIGINATING_CR_INST_SRT_CDE,ORIGINATING_CUS_ACC_NUM,ORIGINATING_CUS_ACC_NME,BENEF_CUS_ACC_ADDNL_IDENT_REF,PAYMENT_TYPE_CDE,CREDIT_PAYMENT_METHOD_VAL,DEBIT_PAYMENT_METHOD_VAL,MESSAGE_STATUS_CDE,MESSAGE_DIRECTION_CDE,SUBMITTING_MEMBER_BANK_CDE,RECEIVING_MEMBER_BANK_CDE,SETTLEMENT_DTE,ORIGINATING_SYSTEM_CDE
RPS FPS 56282776061534,14-5-2018 00:00:00,RP1752961713115650,RP46799600590814001020180429826200026,994.00,GBP,14-5-2018,656258,23461222,"UMAR,MUHAMMAD,'ABDALLAH BA'AMAR",285254,45601236,Beatrisa Dockrill,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,14-5-2018,812
RPS FPS 90484872616643,19-11-2018 00:00:00,RP4146629602885390,RP46799607647690001020180507826200026,180.00,GBP,19-11-2018,542684,23465222,UMARAMAR,795301,53658273,Aleece Tait,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-11-2018,812
RPS FPS 61385110034950,4-4-2018 00:00:00,RP6844235518129130,RP46799641997000001020180219826200026,894.00,GBP,4-4-2018,283956,23537222,"UMAR,MUHAMMADAMAR",662470,40870611,Prentice O'Collopy,INVOICES 22 +19,10,FPS,BOOK,COMPLETE,O,934,11,4-4-2018,603
RPS FPS 83615246943862,22-12-2018 00:00:00,RP1519031725030720,RP46799642109900607959791710209300611,887.00,GBP,22-12-2018,817865,23553222,MUHAMMADAMAR,767034,77516089,Brandais Tompion,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,22-12-2018,612
RPS FPS 80681828354852,12-9-2018 00:00:00,RP8314107536176100,RP46816812510583677054092860569217026,526.00,GBP,12-9-2018,343172,23570222,ABDALLAH BA'AMAR,683067,68141389,Parsifal Tanfield,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,12-9-2018,612
RPS FPS 86426502613867,20-3-2018 00:00:00,RP8056873585856660,RP46919752326418496584980096638928899,927.00,GBP,20-3-2018,610651,23638222,UAMAR,502436,81513823,Artur Ladds,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,20-3-2018,812
RPS FPS 13588773010450,16-11-2018 00:00:00,RP8926172273336290,RP46947423022536528003980391808985055,216.00,GBP,16-11-2018,488692,23661222,AMARU,246536,40547482,Angil Richings,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,16-11-2018,812
RPS FPS 35180936487185,16-1-2018 00:00:00,RP3791268928758570,RP46895221357848510515885897269344456,420.00,GBP,16-1-2018,405281,23709222,"U,MAMAR",534771,80479511,Dennet Wessel,INVOICES 22 +20,10,FPS,BOOK,COMPLETE,O,934,11,16-1-2018,603
RPS FPS 34076751049958,4-5-2018 00:00:00,RP8089874249532370,RP46833022774881584420483262148955270,202.00,GBP,4-5-2018,649706,23711222,AMARU M,867150,70320653,Nickola Alfonsetti,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,4-5-2018,612
RPS FPS 43359596553331,3-6-2018 00:00:00,RP2368908026623710,RP46828283439417614432686852949177762,534.00,GBP,3-6-2018,305205,23759222,"U,M,AAMAR",620467,64421094,Maurice Grimshaw,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,3-6-2018,612
RPS FPS 43358851289192,17-10-2018 00:00:00,RP8843584071328180,RP46998781840741630492777634069188788,584.00,GBP,17-10-2018,871184,23778222,AMARU M A,523116,70725040,Gaylord Barlass,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,17-10-2018,812
RPS FPS 36828902369511,15-6-2018 00:00:00,RP2938026134305080,RP46971572131274568125680067568769434,710.00,GBP,15-6-2018,382738,23782222,"UMAR,MAMAR",858056,59552952,Malia Paybody,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,15-6-2018,812
RPS FPS 16970453922430,8-6-2018 00:00:00,RP2183135903487290,RP46855433088031420315987913528975955,257.00,GBP,8-6-2018,463907,23804222,AMAR'UMAR M,427886,74034819,Hayes Ayris,INVOICES 22 +20,10,FPS,BOOK,COMPLETE,O,934,11,8-6-2018,603
RPS FPS 24329841192645,15-1-2018 00:00:00,RP8550960365958100,RP46890042268284760717687181728893641,896.00,GBP,15-1-2018,407485,23848222,"UMAR,AAMAR",661977,60159698,Elberta Gibbon,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,15-1-2018,612
RPS FPS 79722488502527,11-1-2018 00:00:00,RP5454350424493940,RP46834002151167524886876476679316534,373.00,GBP,11-1-2018,632221,23856222,AMAR'UMAR A,257474,55774368,Alyosha Nesbit,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,11-1-2018,612
RPS FPS 40284061517695,12-12-2018 00:00:00,RP1223462922609270,RP46814313033153391137484213479312577,113.00,GBP,12-12-2018,505313,23895222,MAMAR,644112,65957145,Steffane O'Dowd,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,12-12-2018,812
RPS FPS 13021591453287,1-2-2018 00:00:00,RP5969383583798170,RP46828682126879695856889923058833219,256.00,GBP,1-2-2018,235222,23912222,AMARM,603253,51811006,Alisun Switsur,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,1-2-2018,812
RPS FPS 96425578441618,8-6-2018 00:00:00,RP3298325437861490,RP46947592712415759973586213469015606,966.00,GBP,8-6-2018,636953,23930222,AAMAR,488133,78320696,Tito Bellefonte,INVOICES 22 +21,10,FPS,BOOK,COMPLETE,O,934,11,8-6-2018,603
RPS FPS 72549899065706,21-7-2018 00:00:00,RP2177159261501790,RP46862981651084479509281012319028811,455.00,GBP,21-7-2018,336429,23976222,AMARA,551246,36899770,Vic Sackett,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,21-7-2018,612
RPS FPS 30836698551205,27-6-2018 00:00:00,RP1060390780591710,RP46947311606576385720882361159254658,30.00,GBP,27-6-2018,625471,24054222,AMAR'UMAR,352789,53902537,Iosep Goodings,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,27-6-2018,612
